,from,to,strength,AuthorRep_from,AuthorRep_to
2643,10140124.0,295783.0,1,10217,153438
2644,8823759.0,295783.0,6,3,153438
2645,2800218.0,295783.0,6,2852,153438
2646,16551381.0,295783.0,5,127,153438
2647,11001615.0,295783.0,5,267,153438
2648,3738171.0,295783.0,2,28166,153438
2649,989121.0,295783.0,1,203799,153438
2650,10038648.0,295783.0,4,1213,153438
2651,9508635.0,295783.0,2,3250,153438
2652,15218755.0,295783.0,4,1,153438
2653,15359157.0,295783.0,3,2619,153438
2654,16944751.0,295783.0,4,33,153438
2655,367865.0,295783.0,2,14164,153438
2656,9105207.0,295783.0,3,461,153438
2657,6839787.0,295783.0,3,1335,153438
2658,13573444.0,295783.0,2,14342,153438
2659,12212379.0,295783.0,3,21,153438
2660,10429793.0,295783.0,1,5192,153438
2661,14744195.0,295783.0,2,83,153438
2662,17463291.0,295783.0,2,3,153438
2663,15855068.0,295783.0,2,37,153438
2664,3625444.0,295783.0,1,5584,153438
2665,11658084.0,295783.0,2,452,153438
2666,9695286.0,295783.0,2,11021,153438
2667,14339265.0,295783.0,2,489,153438
2668,6400613.0,295783.0,2,193,153438
2669,12096922.0,295783.0,1,1521,153438
2670,5660086.0,295783.0,1,618,153438
2671,12531078.0,295783.0,1,176,153438
2672,1453746.0,295783.0,2,884,153438
2673,1771994.0,295783.0,1,5409,153438
2674,10314752.0,295783.0,1,138,153438
2675,17498515.0,295783.0,1,25,153438
2676,1803626.0,295783.0,1,127,153438
2677,3607893.0,295783.0,1,117,153438
2678,1593107.0,295783.0,1,2140,153438
2679,1520278.0,295783.0,1,6571,153438
2680,5459839.0,12361700.0,4,257338,10422
2681,11264664.0,12361700.0,16,512,10422
2682,1447675.0,12361700.0,1,348315,10422
2683,740553.0,12361700.0,6,44007,10422
2684,14951224.0,12361700.0,2,305,10422
2685,1067003.0,12361700.0,4,17271,10422
2686,768644.0,12361700.0,3,62860,10422
2687,13998708.0,12361700.0,1,13,10422
